"x","y","u"
0,8.1,109.324237327723
0,8.2,109.324097276304
0,8.3,109.317515822308
0,8.4,109.304436416746
0,8.5,109.285889479197
0,8.6,109.263899124471
0,8.7,109.241350659471
0,8.8,109.221826508517
0,8.9,109.209419202281
0,9,109.208530576667
0,9.1,109.223666381035
0,9.2,109.259235121887
0,9.3,109.319359218384
0,9.4,109.407705485174
0,9.5,109.527340661508
0,9.6,109.680616253505
0,9.7,109.86908542994
0,9.8,110.093453188116
0,9.9,110.35355955495
0,10,110.648394269092
0.1,0.2,129.547850466815
0.1,0.3,129.57050665421
0.1,0.4,129.628076874401
0.1,0.5,129.719466066062
0.1,0.6,129.842793786661
0.1,0.7,129.995392407353
0.1,0.8,130.173827891905
0.1,0.9,130.373943947518
0.1,1,130.590929574412
0.1,1.1,130.819409232536
0.1,1.2,131.053554014754
0.1,1.3,131.287211395144
0.1,1.4,131.514050338154
0.1,1.5,131.72771783888
0.1,1.6,131.92200234512
0.1,1.7,132.090999015179
0.1,1.8,132.229271416069
0.1,1.9,132.332004086253
0.1,2,132.395140393129
0.1,2.1,132.415500321143
0.1,2.2,132.390873239805
0.1,2.3,132.320081323637
0.1,2.4,132.203010123173
0.1,2.5,132.040603804554
0.1,2.6,131.834823763378
0.1,2.7,131.58857064564
0.1,2.8,131.305571234599
0.1,2.9,130.990233137944
0.1,3,130.647471676933
0.1,3.1,130.2825147737
0.1,3.2,129.900692885327
0.1,3.3,129.507222072795
0.1,3.4,129.106989050594
0.1,3.5,128.704347476163
0.1,3.6,128.302934755499
0.1,3.7,127.905518225871
0.1,3.8,127.51387871136
0.1,3.9,127.128738137954
0.1,4,126.749736173059
0.1,4.1,126.375458776992
0.1,4.2,126.003519203722
0.1,4.3,125.630689470608
0.1,4.4,125.253077755717
0.1,4.5,124.866344712852
0.1,4.6,124.465949459418
0.1,4.7,124.047414127596
0.1,4.8,123.606594499273
0.1,4.9,123.139943472051
0.1,5,122.644754000462
0.1,5.1,122.119368759989
0.1,5.2,121.563345088015
0.1,5.3,120.977565719612
0.1,5.4,120.364288369752
0.1,5.5,119.727130192519
0.1,5.6,119.070986416172
0.1,5.7,118.401885832827
0.1,5.8,117.726789123319
0.1,5.9,117.053339032767
0.1,6,116.389574003426
0.1,6.1,115.743618865849
0.1,6.2,115.123367467993
0.1,6.3,114.536172607545
0.1,6.4,113.988558294977
0.1,6.5,113.48596823234
0.1,6.6,113.032562512225
0.1,6.7,112.631072032421
0.1,6.8,112.282717130966
0.1,6.9,111.987193646211
0.1,7,111.742726185851
0.1,7.1,111.546185039475
0.1,7.2,111.393260074785
0.1,7.3,111.27868228243
0.1,7.4,111.196481513734
0.1,7.5,111.140267488352
0.1,7.6,111.103520393132
0.1,7.7,111.079877364399
0.1,7.8,111.063401816451
0.1,7.9,111.048823884082
0.1,8,111.031742088431
0.1,8.1,111.008778590181
0.1,8.2,110.977682922513
0.1,8.3,110.937381751439
0.1,8.4,110.887974847743
0.1,8.5,110.830679937839
0.1,8.6,110.767731312049
0.1,8.7,110.70223891303
0.1,8.8,110.638016035115
0.1,8.9,110.579384696686
0.1,9,110.530968189936
0.1,9.1,110.497480279846
0.1,9.2,110.483520054622
0.1,9.3,110.493380580874
0.1,9.4,110.530878359828
0.1,9.5,110.599209197471
0.1,9.6,110.700834576644
0.1,9.7,110.837401037219
0.1,9.8,111.009693510778
0.1,9.9,111.217622088911
0.1,10,111.460240388332
0.2,0.3,131.069265072851
0.2,0.4,131.110505341539
0.2,0.5,131.188842947909
0.2,0.6,131.302417359513
0.2,0.7,131.448522977943
0.2,0.8,131.623628886721
0.2,0.9,131.823423616254
0.2,1,132.042885020161
0.2,1.1,132.276374493828
0.2,1.2,132.517753878628
0.2,1.3,132.760522514716
0.2,1.4,132.997971063228
0.2,1.5,133.223347946615
0.2,1.6,133.430033584489
0.2,1.7,133.611717060646
0.2,1.8,133.762569471243
0.2,1.9,133.877407997823
0.2,2,133.951844740947
0.2,2.1,133.98241455538
0.2,2.2,133.966676554777
0.2,2.3,133.903284605045
0.2,2.4,133.792022996119
0.2,2.5,133.633804558222
0.2,2.6,133.430629748352
0.2,2.7,133.185506643236
0.2,2.8,132.902333293866
0.2,2.9,132.585745471536
0.2,3,132.240934404587
0.2,3.1,131.873440599875
