"x","u"
5.35,106.926339
5.36,106.88158
5.37,106.837052
5.38,106.792754
5.39,106.748685
5.4,106.704844
5.41,106.661231
5.42,106.617846
5.43,106.574686
5.44,106.531752
5.45,106.489042
5.46,106.446556
5.47,106.404294
5.48,106.362254
5.49,106.320435
5.5,106.278838
5.51,106.23746
5.52,106.196302
5.53,106.155362
5.54,106.11464
5.55,106.074135
5.56,106.033846
5.57,105.993772
5.58,105.953913
5.59,105.914268
5.6,105.874836
5.61,105.835616
5.62,105.796607
5.63,105.75781
5.64,105.719222
5.65,105.680843
5.66,105.642672
5.67,105.604709
5.68,105.566952
5.69,105.529402
5.7,105.492056
5.71,105.454915
5.72,105.417977
5.73,105.381242
5.74,105.344708
5.75,105.308376
5.76,105.272244
5.77,105.236311
5.78,105.200577
5.79,105.165041
5.8,105.129702
5.81,105.09456
5.82,105.059612
5.83,105.024859
5.84,104.990301
5.85,104.955935
5.86,104.921761
5.87,104.887779
5.88,104.853987
5.89,104.820385
5.9,104.786972
5.91,104.753748
5.92,104.72071
5.93,104.68786
5.94,104.655195
5.95,104.622715
5.96,104.590419
5.97,104.558307
5.98,104.526377
5.99,104.494629
6,104.463062
6.01,104.431676
6.02,104.400468
6.03,104.369439
6.04,104.338589
6.05,104.307915
6.06,104.277417
6.07,104.247095
6.08,104.216947
6.09,104.186973
6.1,104.157172
6.11,104.127544
6.12,104.098087
6.13,104.0688
6.14,104.039684
6.15,104.010737
6.16,103.981958
6.17,103.953346
6.18,103.924902
6.19,103.896623
6.2,103.86851
6.21,103.840561
6.22,103.812776
6.23,103.785154
6.24,103.757694
6.25,103.730395
6.26,103.703257
6.27,103.676278
6.28,103.649459
6.29,103.622798
6.3,103.596295
6.31,103.569948
6.32,103.543758
6.33,103.517723
6.34,103.491842
6.35,103.466115
6.36,103.440541
6.37,103.415119
6.38,103.389849
6.39,103.36473
6.4,103.339761
6.41,103.314941
6.42,103.290269
6.43,103.265746
6.44,103.241369
6.45,103.217139
6.46,103.193054
6.47,103.169115
6.48,103.145319
6.49,103.121667
6.5,103.098158
6.51,103.074791
6.52,103.051564
6.53,103.028479
6.54,103.005533
6.55,102.982727
6.56,102.960059
6.57,102.937528
6.58,102.915135
6.59,102.892878
6.6,102.870756
6.61,102.84877
6.62,102.826917
6.63,102.805198
6.64,102.783612
6.65,102.762158
6.66,102.740836
6.67,102.719644
6.68,102.698582
6.69,102.67765
6.7,102.656846
6.71,102.636171
6.72,102.615622
6.73,102.595201
6.74,102.574905
6.75,102.554735
6.76,102.534689
6.77,102.514768
6.78,102.494969
6.79,102.475294
6.8,102.45574
6.81,102.436308
6.82,102.416996
6.83,102.397805
6.84,102.378733
6.85,102.35978
6.86,102.340945
6.87,102.322227
6.88,102.303626
6.89,102.285142
6.9,102.266773
6.91,102.248519
6.92,102.230379
6.93,102.212353
6.94,102.19444
6.95,102.17664
6.96,102.158951
6.97,102.141374
6.98,102.123907
6.99,102.106551
7,102.089303
7.01,102.072165
7.02,102.055134
7.03,102.038211
7.04,102.021396
7.05,102.004686
7.06,101.988083
7.07,101.971584
7.08,101.95519
7.09,101.938901
7.1,101.922714
7.11,101.906631
7.12,101.89065
7.13,101.87477
7.14,101.858992
7.15,101.843314
7.16,101.827736
7.17,101.812258
7.18,101.796878
7.19,101.781597
7.2,101.766413
7.21,101.751327
7.22,101.736337
7.23,101.721444
7.24,101.706646
7.25,101.691942
7.26,101.677334
7.27,101.662819
7.28,101.648397
7.29,101.634069
7.3,101.619832
7.31,101.605688
7.32,101.591634
7.33,101.577671
7.34,101.563799
7.35,101.550016
7.36,101.536322
7.37,101.522716
7.38,101.509199
7.39,101.495769
7.4,101.482427
7.41,101.469171
7.42,101.456001
7.43,101.442916
7.44,101.429916
7.45,101.417001
7.46,101.40417
7.47,101.391423
7.48,101.378759
7.49,101.366177
7.5,101.353677
7.51,101.341259
7.52,101.328922
7.53,101.316665
7.54,101.304489
7.55,101.292392
7.56,101.280374
7.57,101.268436
7.58,101.256575
7.59,101.244792
7.6,101.233087
7.61,101.221458
7.62,101.209906
7.63,101.19843
7.64,101.187029
7.65,101.175703
7.66,101.164452
7.67,101.153275
7.68,101.142171
7.69,101.131141
7.7,101.120183
7.71,101.109298
7.72,101.098485
7.73,101.087743
7.74,101.077073
7.75,101.066473
7.76,101.055943
7.77,101.045483
7.78,101.035092
7.79,101.02477
7.8,101.014517
7.81,101.004331
7.82,100.994214
7.83,100.984163
7.84,100.97418
7.85,100.964263
7.86,100.954411
7.87,100.944626
7.88,100.934906
7.89,100.92525
7.9,100.915659
7.91,100.906132
7.92,100.896668
7.93,100.887268
7.94,100.87793
7.95,100.868655
7.96,100.859443
7.97,100.850291
7.98,100.841201
7.99,100.832172
8,100.823204
8.01,100.814295
8.02,100.805447
8.03,100.796657
8.04,100.787927
8.05,100.779256
8.06,100.770642
8.07,100.762087
8.08,100.753589
8.09,100.745149
8.1,100.736765
8.11,100.728438
8.12,100.720167
8.13,100.711952
8.14,100.703792
8.15,100.695688
8.16,100.687638
8.17,100.679643
8.18,100.671701
8.19,100.663813
8.2,100.655979
8.21,100.648198
8.22,100.640469
8.23,100.632793
8.24,100.625169
8.25,100.617597
8.26,100.610076
8.27,100.602606
8.28,100.595187
8.29,100.587818
8.3,100.580499
8.31,100.57323
8.32,100.566011
8.33,100.55884
8.34,100.551719
8.35,100.544646
8.36,100.537621
8.37,100.530644
8.38,100.523715
8.39,100.516833
8.4,100.509998
8.41,100.50321
8.42,100.496468
8.43,100.489772
8.44,100.483122
8.45,100.476517
8.46,100.469958
8.47,100.463444
8.48,100.456974
8.49,100.450548
8.5,100.444167
8.51,100.437829
8.52,100.431535
8.53,100.425284
8.54,100.419076
8.55,100.412911
8.56,100.406788
8.57,100.400707
8.58,100.394668
8.59,100.38867
8.6,100.382714
8.61,100.376799
8.62,100.370924
8.63,100.36509
8.64,100.359296
8.65,100.353543
8.66,100.347828
8.67,100.342154
8.68,100.336518
8.69,100.330922
8.7,100.325364
8.71,100.319844
8.72,100.314363
8.73,100.308919
8.74,100.303514
8.75,100.298145
8.76,100.292814
8.77,100.28752
8.78,100.282262
8.79,100.277041
8.8,100.271856
8.81,100.266707
8.82,100.261594
8.83,100.256516
8.84,100.251474
8.85,100.246466
8.86,100.241494
8.87,100.236556
8.88,100.231652
8.89,100.226783
8.9,100.221947
8.91,100.217145
8.92,100.212376
8.93,100.207641
8.94,100.202939
8.95,100.198269
8.96,100.193632
8.97,100.189027
8.98,100.184455
8.99,100.179914
9,100.175405
9.01,100.170928
9.02,100.166482
9.03,100.162067
9.04,100.157683
9.05,100.153329
9.06,100.149006
9.07,100.144713
9.08,100.140451
9.09,100.136218
9.1,100.132015
9.11,100.127841
9.12,100.123697
9.13,100.119581
9.14,100.115495
9.15,100.111437
9.16,100.107407
9.17,100.103406
9.18,100.099433
9.19,100.095488
9.2,100.091571
9.21,100.087681
9.22,100.083819
9.23,100.079984
9.24,100.076175
9.25,100.072394
9.26,100.068639
9.27,100.064911
9.28,100.061209
9.29,100.057533
9.3,100.053883
9.31,100.050258
9.32,100.046659
9.33,100.043086
9.34,100.039538
9.35,100.036015
9.36,100.032517
9.37,100.029043
9.38,100.025594
9.39,100.02217
9.4,100.018769
9.41,100.015393
9.42,100.012041
9.43,100.008712
9.44,100.005407
9.45,100.002125
9.46,99.998867
9.47,99.995631
9.48,99.992419
9.49,99.989229
9.5,99.986062
9.51,99.982917
9.52,99.979795
9.53,99.976695
9.54,99.973617
9.55,99.970561
9.56,99.967526
9.57,99.964513
9.58,99.961522
9.59,99.958551
9.6,99.955602
9.61,99.952674
9.62,99.949767
9.63,99.94688
9.64,99.944014
9.65,99.941168
9.66,99.938343
9.67,99.935537
9.68,99.932752
9.69,99.929987
9.7,99.927241
9.71,99.924515
9.72,99.921808
9.73,99.91912
9.74,99.916452
9.75,99.913803
9.76,99.911173
9.77,99.908561
9.78,99.905969
9.79,99.903394
9.8,99.900838
9.81,99.898301
9.82,99.895781
9.83,99.89328
9.84,99.890796
9.85,99.888331
9.86,99.885883
9.87,99.883452
9.88,99.881039
9.89,99.878643
9.9,99.876264
9.91,99.873903
9.92,99.871558
9.93,99.86923
9.94,99.866919
9.95,99.864624
9.96,99.862346
9.97,99.860084
9.98,99.857839
9.99,99.855609
10,99.853396
