"x","y","u"
0.5,2.2,139.985646
0.5,2.3,139.865385
0.5,2.4,139.669758
0.5,2.5,139.407524
0.5,2.6,139.086899
0.5,2.7,138.715564
0.5,2.8,138.300673
0.5,2.9,137.848864
0.5,3,137.366271
0.5,3.1,136.858543
0.5,3.2,136.330856
0.5,3.3,135.787935
0.5,3.4,135.234075
0.5,3.5,134.673154
0.5,3.6,134.108663
0.5,3.7,133.543723
0.5,3.8,132.981107
0.5,3.9,132.423264
0.5,4,131.872337
0.5,4.1,131.330188
0.5,4.2,130.798417
0.5,4.3,130.278385
0.5,4.4,129.771229
0.5,4.5,129.277886
0.5,4.6,128.799108
0.5,4.7,128.33548
0.5,4.8,127.887436
0.5,4.9,127.455279
0.5,5,127.039186
0.5,5.1,126.639232
0.5,5.2,126.255395
0.5,5.3,125.887572
0.5,5.4,125.535587
0.5,5.5,125.199204
0.5,5.6,124.878132
0.5,5.7,124.572038
0.5,5.8,124.280551
0.5,5.9,124.00327
0.5,6,123.73977
0.5,6.1,123.489607
0.5,6.2,123.252325
0.5,6.3,123.027458
0.5,6.4,122.814534
0.5,6.5,122.61308
0.5,6.6,122.422622
0.5,6.7,122.242693
0.5,6.8,122.072828
0.5,6.9,121.912571
0.5,7,121.761477
0.5,7.1,121.619108
0.5,7.2,121.485039
0.5,7.3,121.358858
0.5,7.4,121.240165
0.5,7.5,121.128573
0.5,7.6,121.023711
0.5,7.7,120.92522
0.5,7.8,120.832755
0.5,7.9,120.745987
0.5,8,120.664599
0.5,8.1,120.58829
0.5,8.2,120.516771
0.5,8.3,120.449766
0.5,8.4,120.387015
0.5,8.5,120.328268
0.5,8.6,120.273289
0.5,8.7,120.221853
0.5,8.8,120.173746
0.5,8.9,120.128769
0.5,9,120.086729
0.5,9.1,120.047446
0.5,9.2,120.01075
0.5,9.3,119.976479
0.5,9.4,119.944481
0.5,9.5,119.914614
0.5,9.6,119.886743
0.5,9.7,119.860739
0.5,9.8,119.836484
0.5,9.9,119.813864
0.5,10,119.792775
0.6,0.7,124.931587
0.6,0.8,127.369131
0.6,0.9,129.552379
0.6,1,131.495316
0.6,1.1,133.211765
0.6,1.2,134.715342
0.6,1.3,136.019423
0.6,1.4,137.137108
0.6,1.5,138.081187
0.6,1.6,138.864108
0.6,1.7,139.497945
0.6,1.8,139.994378
0.6,1.9,140.364664
0.6,2,140.619616
0.6,2.1,140.769593
0.6,2.2,140.82448
0.6,2.3,140.793681
0.6,2.4,140.68611
0.6,2.5,140.510192
0.6,2.6,140.273856
0.6,2.7,139.984544
0.6,2.8,139.649213
0.6,2.9,139.27434
0.6,3,138.865938
0.6,3.1,138.429565
0.6,3.2,137.970335
0.6,3.3,137.492939
0.6,3.4,137.001657
0.6,3.5,136.500379
0.6,3.6,135.992622
0.6,3.7,135.481547
0.6,3.8,134.969984
0.6,3.9,134.460446
0.6,4,133.955154
0.6,4.1,133.456052
0.6,4.2,132.964831
0.6,4.3,132.482941
0.6,4.4,132.011619
