"x","u"
4.97,108.742241
4.98,108.687266
4.99,108.635439
5,108.580093
5.01,108.527944
5.02,108.475819
5.03,108.424685
5.04,108.371509
5.05,108.321211
5.06,108.268128
5.07,108.217351
5.08,108.165792
5.09,108.116249
5.1,108.063784
5.11,108.013465
5.12,107.964285
5.13,107.913834
5.14,107.864251
5.15,107.814924
5.16,107.764557
5.17,107.716061
5.18,107.668937
5.19,107.61945
5.2,107.571917
5.21,107.523208
5.22,107.476945
5.23,107.429224
5.24,107.38303
5.25,107.334898
5.26,107.287607
5.27,107.241787
5.28,107.194572
5.29,107.148419
5.3,107.103242
5.31,107.057169
5.32,107.01268
5.33,106.969008
5.34,106.921298
5.35,106.878642
5.36,106.832444
5.37,106.788379
5.38,106.744778
5.39,106.701579
5.4,106.658611
5.41,106.613784
5.42,106.572205
5.43,106.529038
5.44,106.485747
5.45,106.443029
5.46,106.400928
5.47,106.358571
5.48,106.317014
5.49,106.27517
5.5,106.233858
5.51,106.193456
5.52,106.152745
5.53,106.110806
5.54,106.071545
5.55,106.031852
5.56,105.990696
5.57,105.950407
5.58,105.910977
5.59,105.872256
5.6,105.833531
5.61,105.794543
5.62,105.756522
5.63,105.717184
5.64,105.67861
5.65,105.64113
5.66,105.602545
5.67,105.565137
5.68,105.529291
5.69,105.490498
5.7,105.452889
5.71,105.415678
5.72,105.380241
5.73,105.343542
5.74,105.307039
5.75,105.270705
5.76,105.235407
5.77,105.199492
5.78,105.164889
5.79,105.129341
5.8,105.093232
5.81,105.058702
5.82,105.024349
5.83,104.990016
5.84,104.95507
5.85,104.921893
5.86,104.886936
5.87,104.852927
5.88,104.819881
5.89,104.786631
5.9,104.752574
5.91,104.719968
5.92,104.687124
5.93,104.654904
5.94,104.622412
5.95,104.590465
5.96,104.557512
5.97,104.525966
5.98,104.494163
5.99,104.463993
6,104.430628
6.01,104.39998
6.02,104.369036
6.03,104.338314
6.04,104.308072
6.05,104.27743
6.06,104.247433
6.07,104.216853
6.08,104.18733
6.09,104.157689
6.1,104.128101
6.11,104.098389
6.12,104.069124
6.13,104.04062
6.14,104.012202
6.15,103.982862
6.16,103.954489
6.17,103.926257
6.18,103.897645
6.19,103.868107
6.2,103.840615
6.21,103.813327
6.22,103.786726
6.23,103.758712
6.24,103.730721
6.25,103.704391
6.26,103.676583
6.27,103.650149
6.28,103.623282
6.29,103.596904
6.3,103.570425
6.31,103.544888
6.32,103.518919
6.33,103.492137
6.34,103.467611
6.35,103.441402
6.36,103.41638
6.37,103.389794
6.38,103.365995
6.39,103.341323
6.4,103.31545
6.41,103.290889
6.42,103.267266
6.43,103.241361
6.44,103.21744
6.45,103.194083
6.46,103.169972
6.47,103.145591
6.48,103.123436
6.49,103.098534
6.5,103.075259
6.51,103.052291
6.52,103.029895
6.53,103.006917
6.54,102.983558
6.55,102.961043
6.56,102.938783
6.57,102.916922
6.58,102.893941
6.59,102.872189
6.6,102.850655
6.61,102.828869
6.62,102.806356
6.63,102.784394
6.64,102.764131
6.65,102.743031
6.66,102.721105
6.67,102.700036
6.68,102.678986
6.69,102.658574
6.7,102.637852
6.71,102.616404
6.72,102.596669
6.73,102.575656
6.74,102.555404
6.75,102.535168
6.76,102.516898
6.77,102.497387
6.78,102.475935
6.79,102.457043
6.8,102.4379
6.81,102.419247
6.82,102.398545
6.83,102.37966
6.84,102.360159
6.85,102.341531
6.86,102.323474
6.87,102.304699
6.88,102.286385
6.89,102.268455
6.9,102.250306
6.91,102.231114
6.92,102.213352
6.93,102.19609
6.94,102.177327
6.95,102.159189
6.96,102.143931
6.97,102.125393
6.98,102.107385
6.99,102.090184
7,102.073592
7.01,102.055475
7.02,102.039392
7.03,102.022896
7.04,102.006003
7.05,101.987984
7.06,101.972089
7.07,101.957343
7.08,101.940335
7.09,101.924637
7.1,101.908775
7.11,101.891252
7.12,101.875744
7.13,101.860962
7.14,101.844768
7.15,101.828474
7.16,101.813002
7.17,101.797667
7.18,101.78285
