"x","y","u","type"
0.4,5.5,125.168572571742,"GP"
0.4,5.6,124.552385625472,"GP"
0.4,5.7,123.919560637372,"GP"
0.4,5.8,123.277304217301,"GP"
0.4,5.9,122.633587302408,"GP"
0.4,6,121.996821812228,"GP"
0.4,6.1,121.375512224271,"GP"
0.4,6.2,120.777899392389,"GP"
0.4,6.3,120.211614370045,"GP"
0.4,6.4,119.683359464653,"GP"
0.4,6.5,119.198632269927,"GP"
0.4,6.6,118.761506090456,"GP"
0.4,6.7,118.374477127991,"GP"
0.4,6.8,118.038385224909,"GP"
0.4,6.9,117.752411069719,"GP"
0.4,7,117.514148790541,"GP"
0.4,7.1,117.319749023621,"GP"
0.4,7.2,117.164124060534,"GP"
0.4,7.3,117.041203737258,"GP"
0.4,7.4,116.94422848047,"GP"
0.4,7.5,116.866064474868,"GP"
0.4,7.6,116.799525311928,"GP"
0.4,7.7,116.737684725606,"GP"
0.4,7.8,116.674166064119,"GP"
0.4,7.9,116.603395894505,"GP"
0.4,8,116.520811457598,"GP"
0.4,8.1,116.423014428027,"GP"
0.4,8.2,116.307866414737,"GP"
0.4,8.3,116.174524686027,"GP"
0.4,8.4,116.023419550738,"GP"
0.4,8.5,115.856177521822,"GP"
0.4,8.6,115.675496703381,"GP"
0.4,8.7,115.484982680986,"GP"
0.4,8.8,115.288954495487,"GP"
0.4,8.9,115.0922310153,"GP"
0.4,9,114.899908197667,"GP"
0.4,9.1,114.717137382317,"GP"
0.4,9.2,114.548913953404,"GP"
0.4,9.3,114.399884519063,"GP"
0.4,9.4,114.274179286754,"GP"
0.4,9.5,114.175274657356,"GP"
0.4,9.6,114.105889321902,"GP"
0.4,9.7,114.067915416339,"GP"
0.4,9.8,114.062384655771,"GP"
0.4,9.9,114.089467899887,"GP"
0.4,10,114.148505349549,"GP"
0.5,0.6,134.913979711465,"GP"
0.5,0.7,135.039324373753,"GP"
0.5,0.8,135.203838683177,"GP"
0.5,0.9,135.402783860326,"GP"
0.5,1,135.630536979425,"GP"
0.5,1.1,135.880697489948,"GP"
0.5,1.2,136.146221690252,"GP"
0.5,1.3,136.419582283732,"GP"
0.5,1.4,136.692949116455,"GP"
0.5,1.5,136.958386242106,"GP"
0.5,1.6,137.208059622969,"GP"
0.5,1.7,137.434449090248,"GP"
0.5,1.8,137.630557685886,"GP"
0.5,1.9,137.790111220277,"GP"
0.5,2,137.907740830042,"GP"
0.5,2.1,137.979141526066,"GP"
0.5,2.2,138.001200196134,"GP"
0.5,2.3,137.972087272961,"GP"
0.5,2.4,137.891307292306,"GP"
0.5,2.5,137.759704832301,"GP"
0.5,2.6,137.579423817914,"GP"
0.5,2.7,137.353819855611,"GP"
0.5,2.8,137.08732708219,"GP"
0.5,2.9,136.785282905967,"GP"
0.5,3,136.453715914146,"GP"
0.5,3.1,136.099104034249,"GP"
0.5,3.2,135.72811168054,"GP"
0.5,3.3,135.347315996356,"GP"
0.5,3.4,134.96293333036,"GP"
0.5,3.5,134.580557676985,"GP"
0.5,3.6,134.204922900117,"GP"
0.5,3.7,133.839700095506,"GP"
0.5,3.8,133.487340407434,"GP"
0.5,3.9,133.148972004499,"GP"
0.5,4,132.824357776175,"GP"
0.5,4.1,132.511917708296,"GP"
0.5,4.2,132.208816937115,"GP"
0.5,4.3,131.911117302838,"GP"
0.5,4.4,131.613986983531,"GP"
0.5,4.5,131.311959663559,"GP"
0.5,4.6,130.999231858102,"GP"
0.5,4.7,130.669984652365,"GP"
0.5,4.8,130.318714379542,"GP"
0.5,4.9,129.940555785727,"GP"
0.5,5,129.531581104749,"GP"
0.5,5.1,129.089059235817,"GP"
0.5,5.2,128.611660874531,"GP"
0.5,5.3,128.099597930817,"GP"
0.5,5.4,127.554688760258,"GP"
0.5,5.5,126.980344475016,"GP"
0.5,5.6,126.38147568464,"GP"
0.5,5.7,125.764323216551,"GP"
0.5,5.8,125.136220438301,"GP"
0.5,5.9,124.505298509676,"GP"
0.5,6,123.880149010605,"GP"
0.5,6.1,123.269460732797,"GP"
0.5,6.2,122.681648846381,"GP"
0.5,6.3,122.124495070847,"GP"
0.5,6.4,121.604816866813,"GP"
0.5,6.5,121.128182059666,"GP"
0.5,6.6,120.698682806673,"GP"
0.5,6.7,120.318779578577,"GP"
0.5,6.8,119.989222041542,"GP"
0.5,6.9,119.709049622792,"GP"
0.5,7,119.475670365641,"GP"
0.5,7.1,119.285012669033,"GP"
0.5,7.2,119.13174088905,"GP"
0.5,7.3,119.009522751073,"GP"
0.5,7.4,118.91133423586,"GP"
0.5,7.5,118.829786164997,"GP"
0.5,7.6,118.757456170671,"GP"
0.5,7.7,118.687210085412,"GP"
0.5,7.8,118.612497970557,"GP"
0.5,7.9,118.527611912221,"GP"
0.5,8,118.427895207485,"GP"
0.5,8.1,118.309895471745,"GP"
0.5,8.2,118.171457336347,"GP"
0.5,8.3,118.011753587638,"GP"
0.5,8.4,117.831256646969,"GP"
0.5,8.5,117.631655049186,"GP"
0.5,8.6,117.415721914619,"GP"
0.5,8.7,117.18714423133,"GP"
0.5,8.8,116.95032301095,"GP"
0.5,8.9,116.71015503144,"GP"
0.5,9,116.471806947589,"GP"
0.5,9.1,116.240492080154,"GP"
0.5,9.2,116.021259259042,"GP"
0.5,9.3,115.818801785186,"GP"
0.5,9.4,115.637292992682,"GP"
0.5,9.5,115.480253144701,"GP"
0.5,9.6,115.350450589112,"GP"
0.5,9.7,115.249838330465,"GP"
0.5,9.8,115.179525528608,"GP"
0.5,9.9,115.139781980157,"GP"
0.5,10,115.130072427566,"GP"
0.6,0.7,135.999473095833,"GP"
0.6,0.8,136.159934677345,"GP"
0.6,0.9,136.358195668421,"GP"
0.6,1,136.588440194541,"GP"
0.6,1.1,136.844020606573,"GP"
0.6,1.2,137.117598056936,"GP"
0.6,1.3,137.40130985381,"GP"
0.6,1.4,137.686959505323,"GP"
0.6,1.5,137.966224348445,"GP"
0.6,1.6,138.230874761879,"GP"
0.6,1.7,138.472998226331,"GP"
0.6,1.8,138.68522095439,"GP"
0.6,1.9,138.860919496831,"GP"
0.6,2,138.994414668547,"GP"
0.6,2.1,139.081140345619,"GP"
0.6,2.2,139.117780178255,"GP"
0.6,2.3,139.102366047086,"GP"
0.6,2.4,139.034333157795,"GP"
0.6,2.5,138.914528005582,"GP"
0.6,2.6,138.745167019078,"GP"
0.6,2.7,138.529745472536,"GP"
0.6,2.8,138.272898182301,"GP"
0.6,2.9,137.980215511911,"GP"
0.6,3,137.658020221881,"GP"
0.6,3.1,137.313112626662,"GP"
0.6,3.2,136.952493267815,"GP"
0.6,3.3,136.583073781048,"GP"
0.6,3.4,136.211387730263,"GP"
0.6,3.5,135.843313816704,"GP"
0.6,3.6,135.483823972979,"GP"
0.6,3.7,135.136768368004,"GP"
0.6,3.8,134.804708254199,"GP"
0.6,3.9,134.488805888491,"GP"
0.6,4,134.188778494224,"GP"
0.6,4.1,133.902920478779,"GP"
0.6,4.2,133.628194993003,"GP"
0.6,4.3,133.3603925568,"GP"
0.6,4.4,133.094351048763,"GP"
0.6,4.5,132.824228052064,"GP"
0.6,4.6,132.543813555361,"GP"
0.6,4.7,132.246868512551,"GP"
0.6,4.8,131.927472936534,"GP"
0.6,4.9,131.580366177691,"GP"
0.6,5,131.20126191403,"GP"
0.6,5.1,130.787121203459,"GP"
0.6,5.2,130.33636871043,"GP"
0.6,5.3,129.849039851827,"GP"
0.6,5.4,129.326849987177,"GP"
0.6,5.5,128.773180731731,"GP"
0.6,5.6,128.192982782574,"GP"
0.6,5.7,127.592599074176,"GP"
